,DESA,PROVINSI,KAB_KOTA,KECAMATAN
8422,JEMUR WONOSARI,JAWA TIMUR,SURABAYA,WONOCOLO
8423,SIWALANKERTO,JAWA TIMUR,SURABAYA,WONOCOLO
8424,PENJARINGANSARI,JAWA TIMUR,SURABAYA,RUNGKUT
8425,LONTAR,JAWA TIMUR,SURABAYA,SAMBIKEREP
8426,NGAGEL REJO,JAWA TIMUR,SURABAYA,WONOKROMO
8427,DARMO,JAWA TIMUR,SURABAYA,WONOKROMO
8428,PETEMON,JAWA TIMUR,SURABAYA,SAWAHAN
8429,PUTATJAYA,JAWA TIMUR,SURABAYA,SAWAHAN
8430,KUPANG KRAJAN,JAWA TIMUR,SURABAYA,SAWAHAN
8431,PAKIS,JAWA TIMUR,SURABAYA,SAWAHAN
8432,EMBONG KALIASIN,JAWA TIMUR,SURABAYA,GENTENG
8433,KEPUTRAN,JAWA TIMUR,SURABAYA,TEGALSARI
8434,GUBENG,JAWA TIMUR,SURABAYA,GUBENG
8435,MOJO,JAWA TIMUR,SURABAYA,GUBENG
8436,KERTAJAYA,JAWA TIMUR,SURABAYA,GUBENG
8437,PUCANGSEWU,JAWA TIMUR,SURABAYA,GUBENG
8438,KEPUTIH,JAWA TIMUR,SURABAYA,SUKOLILO
8439,KLAMPIS NGASEM,JAWA TIMUR,SURABAYA,SUKOLILO
8440,MEDOKAN SEMAMPIR,JAWA TIMUR,SURABAYA,SUKOLILO
8441,PACAR KELING,JAWA TIMUR,SURABAYA,TAMBAKSARI
8442,KAPASMADYA BARU,JAWA TIMUR,SURABAYA,TAMBAKSARI
8443,DUKUH SETRO,JAWA TIMUR,SURABAYA,TAMBAKSARI
8444,SIMOKERTO,JAWA TIMUR,SURABAYA,SIMOKERTO
8445,KAPASAN,JAWA TIMUR,SURABAYA,SIMOKERTO
8446,SIMOLAWANG,JAWA TIMUR,SURABAYA,SIMOKERTO
8447,TAMBAKREJO,JAWA TIMUR,SURABAYA,SIMOKERTO
8448,NYAMPLUNGAN,JAWA TIMUR,SURABAYA,PABEAN CANTIKAN
8449,PERAK TIMUR,JAWA TIMUR,SURABAYA,PABEAN CANTIKAN
8450,PERAK UTARA,JAWA TIMUR,SURABAYA,PABEAN CANTIKAN
8451,BALONGSARI,JAWA TIMUR,SURABAYA,TANDES
8452,MANUKAN WETAN,JAWA TIMUR,SURABAYA,TANDES
8453,BANJAR SUGIHAN,JAWA TIMUR,SURABAYA,TANDES
8454,KEMAYORAN,JAWA TIMUR,SURABAYA,KREMBANGAN
8456,DUPAK,JAWA TIMUR,SURABAYA,KREMBANGAN
8457,WONOKUSUMO,JAWA TIMUR,SURABAYA,SEMAMPIR
8459,UJUNG,JAWA TIMUR,SURABAYA,SEMAMPIR
8460,TANAH KALIKEDINDING,JAWA TIMUR,SURABAYA,KENJERAN
8461,BULAK BANTENG,JAWA TIMUR,SURABAYA,KENJERAN
8462,JERUK,JAWA TIMUR,SURABAYA,LAKARSANTRI
8464,LAKARSANTRI,JAWA TIMUR,SURABAYA,LAKARSANTRI
8465,LIDAH WETAN,JAWA TIMUR,SURABAYA,LAKARSANTRI
8466,JAJAR TUNGGAL,JAWA TIMUR,SURABAYA,WIYUNG
8467,BABATAN,JAWA TIMUR,SURABAYA,WIYUNG
8468,BALAS KLUMPRIK,JAWA TIMUR,SURABAYA,WIYUNG
8469,DUKUH PAKIS,JAWA TIMUR,SURABAYA,DUKUHPAKIS
8470,DUKUH KUPANG,JAWA TIMUR,SURABAYA,DUKUHPAKIS
8471,PRADAKALIKENDAL,JAWA TIMUR,SURABAYA,DUKUHPAKIS
8472,MENANGGAL,JAWA TIMUR,SURABAYA,GAYUNGAN
8473,DUKUH MENANGGAL,JAWA TIMUR,SURABAYA,GAYUNGAN
8474,KETINTANG,JAWA TIMUR,SURABAYA,GAYUNGAN
8475,PAGESANGAN,JAWA TIMUR,SURABAYA,JAMBANGAN
8478,KUTISARI,JAWA TIMUR,SURABAYA,TENGGILIS MEJOYO
