tanggal,harga
16-Apr-12,32202
17-Apr-12,30403
18-Apr-12,28681
19-Apr-12,27519
20-Apr-12,26440
21-Apr-12,25804
22-Apr-12,25408
23-Apr-12,23246
24-Apr-12,22427
25-Apr-12,21612
26-Apr-12,20872
27-Apr-12,19506
28-Apr-12,18761
29-Apr-12,17939
30-Apr-12,15745
01-May-12,16738
02-May-12,14281
03-May-12,13746
04-May-12,13304
05-May-12,13123
06-May-12,12215
07-May-12,11446
08-May-12,11036
09-May-12,10585
10-May-12,10408
11-May-12,10322
12-May-12,10209
13-May-12,10194
14-May-12,9892
15-May-12,9526
16-May-12,9171
17-May-12,9219
18-May-12,9294
19-May-12,9316
20-May-12,9314
21-May-12,9174
22-May-12,9232
23-May-12,10438
24-May-12,10039
25-May-12,10132
26-May-12,10094
27-May-12,10118
28-May-12,10371
29-May-12,10559
30-May-12,10884
31-May-12,11089
01-Jun-12,11224
02-Jun-12,11483
03-Jun-12,11698
04-Jun-12,12395
05-Jun-12,12654
06-Jun-12,13232
07-Jun-12,13802
08-Jun-12,14027
09-Jun-12,14193
10-Jun-12,14175
11-Jun-12,14221
12-Jun-12,14045
13-Jun-12,13723
14-Jun-12,13159
15-Jun-12,12931
16-Jun-12,12976
17-Jun-12,12803
18-Jun-12,12838
19-Jun-12,12806
20-Jun-12,12805
21-Jun-12,12976
22-Jun-12,13697
23-Jun-12,13615
24-Jun-12,13642
25-Jun-12,13379
26-Jun-12,13398
27-Jun-12,13206
28-Jun-12,13490
29-Jun-12,13703
30-Jun-12,14087
01-Jul-12,14548
02-Jul-12,15290
03-Jul-12,15761
04-Jul-12,16006
05-Jul-12,16459
06-Jul-12,16660
07-Jul-12,16814
08-Jul-12,16759
09-Jul-12,15805
10-Jul-12,15791
11-Jul-12,15098
12-Jul-12,14533
13-Jul-12,14653
14-Jul-12,14642
15-Jul-12,14509
16-Jul-12,14110
17-Jul-12,13997
18-Jul-12,13832
19-Jul-12,13682
20-Jul-12,13586
21-Jul-12,13618
22-Jul-12,13790
23-Jul-12,14059
24-Jul-12,13568
25-Jul-12,13064
26-Jul-12,12782
27-Jul-12,12824
28-Jul-12,12963
29-Jul-12,13105
30-Jul-12,12834
31-Jul-12,12834
01-Aug-12,12775
02-Aug-12,12954
03-Aug-12,13041
04-Aug-12,13111
05-Aug-12,13188
